Image Resolution,Num Conv Layers,Batch Size,Epochs
"(64, 64)",7,64,10
"(32, 32)",5,16,30
"(64, 64)",3,16,20
"(64, 64)",3,64,30
"(32, 32)",3,64,30
"(32, 32)",3,64,10
"(64, 64)",3,16,10
"(64, 64)",3,64,20
"(32, 32)",7,16,20
"(32, 32)",5,32,10
"(64, 64)",7,16,20
"(64, 64)",3,32,30
"(128, 128)",3,64,20
"(128, 128)",7,64,20
"(128, 128)",3,32,20
"(128, 128)",5,16,10
"(32, 32)",7,32,30
"(128, 128)",7,32,30
"(64, 64)",7,64,20
"(128, 128)",3,16,30
"(64, 64)",7,16,30
"(64, 64)",7,32,30
"(128, 128)",7,64,10
"(64, 64)",3,32,10
"(64, 64)",5,32,10
"(128, 128)",3,64,10
"(64, 64)",5,16,20
"(128, 128)",3,16,20
"(32, 32)",3,32,30
"(32, 32)",7,16,10
"(128, 128)",5,64,10
"(64, 64)",7,32,20
"(64, 64)",7,16,10
"(32, 32)",3,16,20
"(32, 32)",5,32,30
"(64, 64)",3,64,10
"(128, 128)",3,32,10
"(128, 128)",7,16,30
"(64, 64)",5,64,20
"(64, 64)",5,64,10
"(64, 64)",3,32,20
"(128, 128)",7,32,10
"(32, 32)",3,16,30
"(32, 32)",7,16,30
"(64, 64)",3,16,30
"(128, 128)",5,64,30
"(64, 64)",7,64,30
"(32, 32)",7,32,20
"(32, 32)",3,64,20
"(128, 128)",7,16,20
"(64, 64)",5,16,10
"(128, 128)",7,16,10
"(128, 128)",5,16,20
"(32, 32)",7,64,10
"(32, 32)",5,64,30
"(128, 128)",5,16,30
"(128, 128)",5,32,20
"(32, 32)",7,32,10
"(32, 32)",5,64,10
"(128, 128)",3,64,30
"(128, 128)",5,32,30
"(64, 64)",5,16,30
"(32, 32)",3,16,10
"(128, 128)",5,64,20
"(64, 64)",7,32,10
"(32, 32)",7,64,30
"(128, 128)",5,32,10
"(32, 32)",5,16,20
"(32, 32)",3,32,10
"(32, 32)",5,32,20
"(128, 128)",7,64,30
"(64, 64)",5,64,30
"(128, 128)",3,32,30
"(32, 32)",5,16,10
"(128, 128)",3,16,10
"(128, 128)",7,32,20
"(32, 32)",5,64,20
"(32, 32)",3,32,20
"(32, 32)",7,64,20
"(64, 64)",5,32,30
"(64, 64)",5,32,20
